ID,Mass_ground_truth,RA,DEC,tau_lim_lo,tau_lim_hi,sig_lim_lo,sig_lim_hi,mu,u_band,g_band,r_band,i_band,z_band,z,M_i,ug,gr,ri,iz,zu,tau,sigma
100512,8.395691416,0.669855,-0.801022,2.82416,4.59928,-1.28437,-0.909228,20.7956,20.90479167,20.3708125,20.0070625,19.6993125,19.56275,1.735,-25.42,0.53397917,0.36375,0.30775,0.1365625,-1.34204167,3.55324,-1.12566
117460,8.299687152,0.693657,-0.104281,3.00938,4.62946,-1.12521,-0.853705,20.7735,20.73103636,20.35998182,20.15038182,19.87989091,19.83361818,1.7127,-25.213,0.37105454,0.2096,0.27049091,0.04627273,-0.89741818,3.58729,-0.989855
106772,9.232283759,0.703861,0.946744,2.9525,4.60056,-0.684595,-0.471404,20.7548,20.47081579,20.34763158,19.99742105,19.89078947,19.90094737,1.2936,-24.321,0.12318421,0.35021053,0.10663158,-0.0101579,-0.56986842,3.23738,-0.556899
66572,8.728531499,0.719683,-0.058616,1.07081,2.16212,0.370513,0.817236,23.9073,24.16455102,21.85291837,20.77908163,20.66595918,20.57904082,3.6829,-26.272,2.31163265,1.07383674,0.11312245,0.08691836,-3.5855102,1.53489,0.643745
70553,8.85286288,0.763851,0.172121,2.55608,4.43465,-0.691252,-0.404003,20.9423,20.92480952,20.60266667,20.44045238,20.23221429,20.34138095,1.5221,-24.29,0.32214285,0.16221429,0.20823809,-0.10916666,-0.58342857,2.77104,-0.522369
132269,8.034308634,0.776006,-0.825122,-0.662202,1.61166,-1.57107,0.370868,20.361,20.37242308,20.17428846,20.00740385,19.99059615,19.94930769,1.0506,-23.912,0.19813462,0.16688461,0.0168077,0.04128846,-0.42311539,0.217851,0.078513
131141,8.877119165,0.818289,-0.125675,2.55179,4.51323,-0.752418,-0.352433,21.9775,22.05973214,20.51317857,20.26255357,20.23651786,20.21182143,3.1795,-26.392,1.54655357,0.250625,0.02603571,0.02469643,-1.84791071,2.98538,-0.527695
42641,8.366594588,0.844205,-0.494774,2.60976,4.45139,-0.625642,-0.415078,20.447,20.61455932,20.20452542,20.08989831,19.84810169,19.79028814,0.651,-23.139,0.4100339,0.11462711,0.24179662,0.05781355,-0.82427118,2.78881,-0.486943
42433,9.853328017,0.861154,0.19922,3.26038,4.68604,-0.8877,-0.701551,19.39,19.27297674,19.17906977,19.15706977,18.91483721,18.87986047,1.8518,-26.205,0.09390697,0.022,0.24223256,0.03497674,-0.39311627,5,-0.8
82447,9.423320134,0.875796,0.137006,2.98113,4.58529,-1.03114,-0.818834,19.9292,19.99022222,19.23444444,19.07315556,19.0254,18.85922222,2.568,-27.114,0.75577778,0.16128888,0.04775556,0.16617778,-1.131,3.20167,-0.910891
59850,8.310093733,0.888592,-0.745361,1.49234,4.31992,-1.88564,-0.773396,21.2834,21.2408125,20.6624375,20.4061875,19.9721875,19.78375,0.6591,-22.534,0.578375,0.25625,0.434,0.1884375,-1.4570625,5,-1.125
58172,9.08534784,0.910728,0.075561,2.27207,4.11165,-0.830127,-0.615819,19.7506,19.67681818,19.55902273,19.54927273,19.45159091,19.30245455,2.0928,-25.834,0.11779545,0.00975,0.09768182,0.14913636,-0.37436363,2.45273,-0.681459
25458,9.673792692,0.912976,1.172123,2.01515,4.26328,-0.706444,-0.393476,20.6877,20.70246341,20.17226829,19.99119512,19.56095122,19.56221951,1.697,-25.344,0.53019512,0.18107317,0.4302439,-0.00126829,-1.1402439,2.15274,-0.429763
107687,8.590818103,0.95193,-0.732052,2.34995,4.31258,-0.758784,-0.479237,20.2841,20.19890909,19.91818182,19.74713636,19.81209091,19.65179545,0.8981,-23.467,0.28072727,0.17104546,-0.06495455,0.16029546,-0.54711364,2.59187,-0.568368
70861,8.895540108,0.981211,0.126804,2.49336,4.37631,-0.587792,-0.408851,20.0594,20.10874468,19.89093617,19.58965957,19.67310638,19.62674468,1.0274,-24.292,0.21780851,0.3012766,-0.08344681,0.0463617,-0.482,2.62196,-0.458725
111332,8.625092025,0.985694,-1.025447,2.73667,4.54827,-0.877649,-0.658062,19.9218,20.02764815,19.76427778,19.56474074,19.59742593,19.39755556,0.9103,-23.821,0.26337037,0.19953704,-0.03268519,0.19987037,-0.63009259,2.94726,-0.737575
