,Unnamed: 0,SDSS_Name,ra_DR7,dec_DR7,M,ERR,ID,ra_S82,dec_S82,z
1721,1721,011658.95+002659.4,19.245641708374023,0.449847012758255,9.116061467900867,0.4751682533181752,674727,19.245642,0.449852,1.6138
1438,1438,010337.60+002841.7,15.9066743850708,0.4782769978046417,8.813040498877701,0.041375379897522484,636686,15.906673,0.478282,2.2976
2436,2436,014727.85-001829.6,26.86606788635254,-0.3082340061664581,9.136954338247046,0.06669587567581148,1245419,26.866058,-0.308229,0.9889
3070,3070,021223.95-005126.0,33.09981918334961,-0.8572250008583069,8.83496070901265,0.07115895547557079,1608447,33.099823,-0.8572280000000001,2.1283
5509,5509,034201.06-003053.6,55.50443649291992,-0.5149080157279968,8.969584276260578,0.4790429418169926,4958104,55.504425,-0.514881,2.847
4950,4950,032156.91+001546.6,50.48713302612305,0.2629550099372864,9.069647502566577,0.32962076563010845,3758358,50.487129,0.262957,1.6458
4084,4084,024654.97+011402.6,41.72907638549805,1.2340810298919678,9.181039492208267,0.052608612931390575,2520626,41.72908,1.234082,2.1551
1334,1334,005758.10-010405.6,14.492107391357422,-1.0682439804077148,9.060660332739273,0.0904708128709592,141827,14.4921,-1.068237,1.2955
2006,2006,012937.27-004609.6,22.40531349182129,-0.7693600058555603,8.416264520834071,0.2661973799228992,953478,22.40531,-0.769354,0.6228
8652,8651,233413.37+001343.1,353.55572509765625,0.2286520004272461,8.752294254637938,0.11573291868750485,367514,353.555725,0.228656,2.0977
1659,1659,011419.86+000100.3,18.582759857177734,0.016776999458670616,8.524998288115501,0.08505715738890449,594032,18.58276,0.016779,1.6876
9147,9146,235553.23-011305.1,358.9718017578125,-1.2180989980697632,9.180057846392957,0.07727396945784741,3931681,358.971771,-1.218099,2.0577
3916,3916,024142.62+003910.1,40.42761611938477,0.6528329849243164,8.802445263723765,0.24679917344258964,2521235,40.427612,0.652831,1.6852
2124,2124,013419.28+000825.4,23.58034324645996,0.14040599763393402,8.618406846672576,0.06962303055880173,998340,23.580336,0.140408,1.1142
2954,2954,020755.39-010058.8,31.98081970214844,-1.0163589715957642,8.18167819921936,0.11701172622546535,1667299,31.980818,-1.016359,0.8622
6037,6036,205429.05-011013.2,313.62103271484375,-1.1703569889068604,9.236091417053293,0.09851089744488573,3652025,313.621033,-1.170356,2.5484
5991,5990,205204.05+004650.4,313.01690673828125,0.7806730270385742,8.515759215142367,0.4436359864913358,3468287,313.016907,0.780674,1.0855
6858,6857,215908.12-010204.4,329.78387451171875,-1.0345669984817505,9.722943090492238,0.29943394396430245,1773832,329.783875,-1.034559,2.3821
706,706,003153.84+005916.1,7.974333763122559,0.9878309965133668,9.18453635690791,0.07542826219095525,4124811,7.9743210000000015,0.987842,1.364
8966,8965,234830.98+011037.6,357.12908935546875,1.1771279573440552,8.233787508889213,0.1823885238704038,3917520,357.129089,1.177127,1.7088
6260,6259,211320.59-002439.3,318.3358154296875,-0.4109340012073517,9.641378325023103,0.06724522151429001,2709581,318.335815,-0.410932,2.2921
5589,5589,034512.62+002245.7,56.30260848999024,0.3793880045413971,8.80603165046359,0.05014859656724766,4913626,56.302608,0.379389,0.4153
9015,9014,235040.09+002558.9,357.66705322265625,0.4330359995365143,8.911063990286909,0.08603190473460898,3930052,357.6670529999999,0.433041,1.0624
4012,4012,024453.22+010852.5,41.221778869628906,1.1479190587997437,8.955993063607785,0.08737205735675327,2543219,41.221767,1.147922,1.9571
7150,7149,221205.34-001451.5,333.02227783203125,-0.247641995549202,8.971974646525537,0.11614131434404774,1408610,333.022278,-0.247644,0.8237
8349,8348,232138.36+003412.9,350.40985107421875,0.5702509880065918,9.056650097373195,0.1210568486488928,274603,350.409851,0.570253,1.5679
1562,1562,010909.35-011030.7,17.288972854614258,-1.1752159595489502,8.796481491453882,0.10074176952220644,607738,17.288971,-1.175214,0.875
4222,4222,025229.25+001624.3,43.12190628051758,0.27344000339508057,8.811436742378934,0.2149616103573065,2498342,43.121902,0.273442,1.2984
9137,9136,235533.41-002812.2,358.8892517089844,-0.4700669944286346,8.859466228204633,0.10430092617634454,3894286,358.889252,-0.470064,0.8007
1965,1965,012801.69+004703.4,22.007057189941406,0.7842900156974792,9.443249432209898,0.17544611567089272,924901,22.007019,0.784283,2.457
696,696,003134.63-001744.7,7.894320964813232,-0.2957629859447479,9.03212885178826,0.07985262341903931,4047985,7.894315,-0.295761,2.1553
1103,1103,004740.48+001417.9,11.918701171875,0.2383060008287429,8.861642560623476,0.11356843414057205,151178,11.918702,0.238304,1.1576
473,473,002111.97+001412.8,5.299911022186278,0.2368939965963364,8.9860444048398,0.18488236208758568,4101784,5.29991,0.236896,0.5227
379,379,001716.82-010725.5,4.320115089416504,-1.1237640380859375,8.715941882476379,0.09661661096454363,76303,4.32011,-1.123758,1.1631
8303,8302,231850.79+002552.6,349.711669921875,0.4312779903411865,9.011714284649717,0.11294723894414588,548075,349.71167,0.431298,1.5913
2291,2291,014048.62-003500.9,25.20262336730957,-0.5835850238800049,8.698147645258175,0.15941657434340184,1332516,25.20262,-0.583584,1.3841
4267,4267,025428.83-004834.9,43.62014389038086,-0.8096950054168701,8.710824523487656,0.22175210222569489,2558885,43.620144,-0.8096909999999999,0.8132
7888,7887,225429.77+002354.5,343.6240539550781,0.3984990119934082,7.991908200612758,0.2330868369825886,788185,343.624054,0.398502,0.6406
4722,4722,031304.02+003543.7,48.26676559448242,0.5954930186271667,8.568224098480421,0.049322302671496135,3124237,48.266758,0.595493,1.9052
4848,4848,031817.75-004156.2,49.573997497558594,-0.6989660263061523,8.72410559474461,0.22732432002064096,3122552,49.573997,-0.698964,1.1005
5920,5919,204857.50-003949.9,312.2395935058594,-0.6638849973678589,8.497552112832421,0.11732321444899192,3536670,312.239594,-0.663887,1.1731
4503,4503,030307.36+001020.4,45.78070449829102,0.17235499620437622,8.655132281255005,0.06671471480964432,3038076,45.780682,0.17235699999999998,1.0468
3540,3540,022657.17+001157.2,36.738224029541016,0.19923700392246246,8.528678447051654,0.1452713860055645,2093595,36.738224,0.199244,2.547
7036,7035,220704.31+005025.9,331.76800537109375,0.8405349850654602,7.664968122025441,0.4598600385257264,1529709,331.768005,0.8405370000000001,0.318
4299,4299,025551.14-010802.9,43.96310424804688,-1.1341639757156372,9.199539043754987,0.06361278547645756,2507619,43.9631,-1.134167,2.1611
381,381,001731.27-004859.3,4.380308151245116,-0.8164860010147095,9.267669125157232,0.06842249288790786,72452,4.380306,-0.8164819999999999,1.3565
6145,6144,210039.29-001953.7,315.1637268066406,-0.3315959870815277,8.980507798754626,0.0927231833921221,2965034,315.163727,-0.331594,1.5317
8474,8473,232628.39+005355.3,351.6182861328125,0.8987039923667908,8.703208521584614,0.2456799067577101,275907,351.618286,0.8987059999999999,1.3429
6141,6140,210027.71+004208.9,315.115478515625,0.7024790048599243,8.429830092390977,0.3591162718471017,2887255,315.115479,0.702481,1.0647
7033,7032,220656.55-004820.0,331.73565673828125,-0.8055819869041443,9.220528610635807,0.1337554134411799,1390934,331.735657,-0.805582,0.6017
4568,4568,030557.29+005357.8,46.48872756958008,0.8994029760360718,9.089602420782557,0.2986059803549387,3031367,46.488716,0.89941,2.8171
2034,2034,013049.68+010244.2,22.70702362060547,1.0456149578094482,8.993705324384472,0.024811497667945385,963412,22.707016,1.0456219999999998,0.8425
3095,3095,021259.73+004450.1,33.248878479003906,0.7472760081291199,8.885940314978559,0.12050885372971602,1719783,33.248871,0.747269,1.0495
835,835,003646.86+001630.9,9.195255279541016,0.27525898814201355,8.710515864995921,0.12830646661100045,4108570,9.195253,0.275258,1.8826
7028,7027,220639.26+002704.0,331.6636047363281,0.451121985912323,9.096100607923805,0.1543136638171582,1471927,331.663605,0.451126,1.7804
58,58,000232.32-002029.8,0.6346819996833801,-0.3416379988193512,8.462114394773582,0.21525029455277409,133669,0.634677,-0.341632,2.1851
3063,3063,021204.19-003529.4,33.01749801635742,-0.5915210247039795,8.477373634949249,0.2620674991506971,1684654,33.017494,-0.591518,1.1672
1155,1155,005019.22+000050.1,12.580107688903807,0.013942000456154343,8.05530193467967,0.12283695586785287,146776,12.580103,0.013946,2.0364
3647,3647,023056.75+004933.5,37.73646926879883,0.8259879946708679,8.59477780821388,0.08685540274684073,2098416,37.736462,0.825994,1.2836
6840,6839,215817.61-010554.9,329.5733947753906,-1.0985939502716064,9.28767729226721,0.2397917880414137,1884634,329.573395,-1.098596,4.115
2918,2918,020616.64+005133.8,31.56936264038086,0.8594009876251221,8.618360636585107,0.1524419662933637,1641045,31.569357,0.859406,3.3461
7252,7251,221709.80+010029.5,334.2908630371094,1.0082210302352903,8.975112764046411,0.1502080722987224,1508380,334.290863,1.008225,1.8978
8724,8723,233700.72+005456.7,354.2530517578125,0.9157530069351196,9.050978930680026,0.18043422761580907,320440,354.253052,0.915758,2.1255
3126,3126,021409.92+011019.0,33.541336059570305,1.1719629764556885,8.278592708363048,0.17086531667335642,1649278,33.541332000000004,1.171968,1.5766
3945,3945,024240.31+005727.1,40.66798782348633,0.957535982131958,9.06234628580482,0.16456163430561924,2566864,40.667984,0.957543,0.5692
9153,9152,235605.48-000436.1,359.0228576660156,-0.07671099901199341,8.653219712376501,0.2848263798628484,3921679,359.022858,-0.076708,1.7818
1193,1193,005152.75-002503.4,12.969799041748047,-0.417620986700058,8.898035572256967,0.04640952844032496,177186,12.969793,-0.417615,1.272
7950,7949,225929.25-000410.3,344.87188720703125,-0.06953199952840805,9.115763502200842,0.08548919005415304,795361,344.871887,-0.069516,2.1790000000000003
5974,5973,205127.50-005807.4,312.8645935058594,-0.9687449932098388,9.217261774332806,0.08623432368171108,3597488,312.864594,-0.968742,1.3102
5883,5882,204640.97-005203.8,311.6707458496094,-0.8677399754524231,9.552037983777193,0.1913085465210348,3550940,311.670746,-0.867741,3.2885
858,858,003758.81+000625.3,9.495044708251953,0.10703500360250473,8.420339715974388,0.16098931028352556,4118380,9.495042,0.107037,0.8097
5426,5426,033915.53+003305.9,54.81475067138672,0.5516549944877625,8.830563140273743,0.5806230434347073,3759764,54.814751,0.551658,1.8325
367,367,001647.50+003943.2,4.197956085205078,0.6620010137557983,8.814157316690704,0.16198377043301604,118616,4.197948,0.661995,1.7046
7063,7062,220827.65-010844.9,332.115234375,-1.1458159685134888,8.719797942255129,0.4415803718858641,1559729,332.115234,-1.145813,1.7876
9145,9144,235552.28+005959.8,358.9678649902344,0.9999529719352722,9.086448837700207,0.14380592998627278,3891780,358.967834,0.999961,1.1923
