my_ID,ID,MJD,ra,dec,Mass,z,ERR,M_i,spec_mjd,u_band,g_band,r_band,i_band,z_band,ug,gr,ri,iz,zu
20908,4215-55471-0194 ,55471,358.86265,-0.061039428,8.373764521,2.051,0.126212751,-24.583439,55471,21.90568,21.5742,21.35071,21.24215,20.88844,0.33148,0.22349,0.10856,0.35371,-1.01724
3620,7868-57006-0692 ,57006,8.8539243,0.31582961,9.41669472,1.4982088,0.032255259,-23.978933,57006,21.22125,21.21253,21.04029,20.83702,20.91997,0.00872,0.17224,0.20327,-0.08295,-0.30128
1031,7876-57002-0522 ,57002,18.092019,0.47554409,8.473466255,1.1813486,0.451503989,-23.624477,57002,21.09035,21.11543,20.90215,20.97548,21.13106,-0.02508,0.21328,-0.07333,-0.15558,0.04071
12006,1087-52930-0632 ,52930,8.3588159,0.12824384,9.438105613,1.7498,0.288324739,-25.257524,52930,20.38947,20.22202,20.22537,20.00632,19.94999,0.16745,-0.00335,0.21905,0.05633,-0.43948
7304,7843-56902-0942 ,56902,26.716403,1.2034434,8.255345812,2.049,0.166582966,-24.294571,56902,22.01676,21.83538,21.77859,21.57081,21.3121,0.18138,0.05679,0.20778,0.25871,-0.70466
13117,7875-56980-0645 ,56980,17.73866,-1.0530856,7.84624837,2.3719804,0.292326196,-24.393612,56980,23.46291,22.03495,21.97522,21.95011,21.42868,1.42796,0.05973,0.02511,0.52143,-2.03423
23963,1117-52885-0125 ,52885,309.96862,-1.2111095,8.768956312,1.245,0.131759404,-25.32395,52885,19.23635,19.17568,18.88077,18.97023,19.1226,0.06067,0.29491,-0.08946,-0.15237,-0.11375
28101,4202-55445-0950 ,55445,337.42317,0.98377995,8.035606678,0.753,0.274290805,-22.989305,55445,21.91372,21.1786,20.80619,20.56777,20.4156,0.73512,0.37241,0.23842,0.15217,-1.49812
10886,7837-56987-0001 ,56987,32.183147,-0.59094696,8.812073977,2.446,0.052518638,-25.461733,56987,21.53527,20.90529,20.99103,21.0159,20.66464,0.62998,-0.08574,-0.02487,0.35126,-0.87063
19456,1062-52619-0248 ,52619,54.852435,-0.90731102,9.090301674,1.7581,0.231351888,-25.15147,52619,19.98582,20.08591,20.22223,20.01413,20.05608,-0.10009,-0.13632,0.2081,-0.04195,0.07026
10792,7336-56656-0445 ,56656,38.831653,-1.136736,9.115238277,1.865,0.44525481,-23.595966,56656,22.78103,22.82509,22.66055,22.17871,22.07063,-0.04406,0.16454,0.48184,0.10808,-0.7104
2030,7843-56902-0869 ,56902,26.415065,0.83085806,8.268808678,2.001271,0.036331334,-24.866165,56902,20.82947,20.91934,20.98207,20.77197,20.58315,-0.08987,-0.06273,0.2101,0.18882,-0.24632
20904,4191-55444-0894 ,55444,318.59045,0.069768132,8.447029319,1.575,0.210906312,-45.109745,55444,21.10711,20.77103,20.75866,20.54109,20.61404,0.33608,0.01237,0.21757,-0.07295,-0.49307
18924,1065-52586-0565 ,52586,50.15936,0.89006791,7.790730228,1.1789,0.481912716,-24.267776,52586,20.26729,20.31821,20.08247,20.11148,20.14112,-0.05092,0.23574,-0.02901,-0.02964,-0.12617
4335,4242-55476-0286 ,55476,43.740141,-1.1416458,7.519497789,2.258,0.310019757,-24.481867,55476,22.45892,21.97842,22.09503,21.96598,21.79542,0.4805,-0.11661,0.12905,0.17056,-0.6635
5658,1905-53706-0343 ,53706,9.871651,0.609876,8.930125472,1.0581,0.028985093,-25.140165,58080,18.95173,18.88826,18.70633,18.89333,18.97445,0.06347,0.18193,-0.187,-0.08112,0.02272
10359,6780-56577-0771 ,56577,37.157779,0.3709402,7.986221432,0.624,0.10430183,-23.351936,56605,20.01973,19.74294,19.85451,19.73593,19.78929,0.27679,-0.11157,0.11858,-0.05336,-0.23044
16397,7859-57282-0173 ,57282,17.923453,1.1445247,7.484415987,2.1490555,0.850199244,-24.568518,57282,22.23343,21.91933,21.77975,21.5201,21.18307,0.3141,0.13958,0.25965,0.33703,-1.05036
24224,0981-52435-0535 ,52435,310.49726,0.28392666,9.556444772,3.0135,0.293158332,-26.924877,52435,22.54751,20.01899,19.77921,19.84459,19.87314,2.52852,0.23978,-0.06538,-0.02855,-2.67437
10851,7870-57016-0014 ,57016,12.925879,-0.25820786,8.275919957,2.749,0.18596623,-24.572432,55481,22.78466,21.97142,21.76276,22.06091,21.75506,0.81324,0.20866,-0.29815,0.30585,-1.0296
11707,8793-57391-0820 ,57391,26.987392,0.006097,8.793577472,1.7929583,0.092045291,-25.53874,57391,20.376,20.14267,20.1543,19.87138,19.76586,0.23333,-0.01163,0.28292,0.10552,-0.61014
18154,0405-51816-0611 ,51816,34.389606,0.76979958,8.215702245,1.95,0.963805107,-25.503559,51816,20.89817,20.81908,20.48946,20.01397,19.83187,0.07909,0.32962,0.47549,0.1821,-1.0663
18274,0401-51788-0437 ,51788,25.231612,0.65236316,9.218710217,1.49,0.23390052,-26.02347,58124,19.95234,19.61467,19.34477,19.07701,19.04325,0.33767,0.2699,0.26776,0.03376,-0.90909
8025,7834-56979-0880 ,56979,33.456781,0.46757948,8.330316336,1.2868611,0.179317779,-23.487318,56979,22.25514,22.06463,21.62615,21.42622,21.34085,0.19051,0.43848,0.19993,0.08537,-0.91429
10284,6781-56274-0713 ,56274,38.781399,0.89384168,8.477650818,1.52,0.367254026,-23.319904,56274,22.99974,22.47068,21.92127,21.49613,21.4877,0.52906,0.54941,0.42514,0.00843,-1.51204
11860,7866-57002-0304 ,57002,6.5940094,-0.27235768,8.239699708,1.4689403,0.175308484,-24.459389,57002,20.75391,20.74533,20.52616,20.38308,20.36203,0.00858,0.21917,0.14308,0.02105,-0.39188
9212,0400-51820-0511 ,51820,23.66368,0.29211036,9.072123376,1.6626,0.179316246,-27.188223,58081,18.4589,18.25229,18.24179,18.07207,18.08562,0.20661,0.0105,0.16972,-0.01355,-0.37328
14754,0401-51788-0114 ,51788,26.088102,-0.12175631,8.789569865,1.1614,0.039367672,-26.102154,58125,18.77125,18.67239,18.42636,18.35431,18.3828,0.09886,0.24603,0.07205,-0.02849,-0.38845
10234,6782-56273-0348 ,56273,40.677167,-0.370278,8.262619523,1.909,0.074535285,-25.299282,56273,20.37346,20.42284,20.44641,20.15923,20.0953,-0.04938,-0.02357,0.28718,0.06393,-0.27816
16335,1073-52649-0348 ,52649,32.580239,0.62669387,9.065187619,1.5541,0.126484802,-25.707054,52649,19.94875,19.65696,19.49735,19.33463,19.35432,0.29179,0.15961,0.16272,-0.01969,-0.59443
1016,7873-57307-0506 ,57307,14.259319,-1.1187165,8.458489324,2.366,0.877905521,-25.738884,57307,21.76082,20.83426,20.65217,20.29444,19.94905,0.92656,0.18209,0.35773,0.34539,-1.81177
19228,0713-52178-0196 ,52178,52.977253,-0.013965275,8.657825839,1.22,0.089828656,-24.929079,52178,19.69345,19.72081,19.50052,19.53576,19.69724,-0.02736,0.22029,-0.03524,-0.16148,0.00379
20395,4194-55450-0700 ,55450,322.79426,0.78542723,8.917390493,2.339,0.044392648,-25.880453,55450,20.68526,20.21808,20.2117,20.21912,20.00221,0.46718,0.00638,-0.00742,0.21691,-0.68305
514,0700-52199-0360 ,52199,27.400463,0.68267554,8.524282071,1.0535,0.205654556,-24.729626,52199,19.89271,19.78677,19.54402,19.60674,19.68818,0.10594,0.24275,-0.06272,-0.08144,-0.20453
16884,7866-57002-0047 ,57002,7.691389,-0.85836454,9.150024961,1.2254773,0.213158442,-23.531366,57002,21.49216,21.73817,21.20181,21.19193,21.22108,-0.24601,0.53636,0.00988,-0.02915,-0.27108
13627,7824-57282-0169 ,57282,39.118821,1.1523097,7.837833399,1.115871,0.180022849,-23.304064,57282,21.16785,21.08697,20.90909,20.9561,20.87441,0.08088,0.17788,-0.04701,0.08169,-0.29344
8036,6781-56274-0663 ,56274,38.570907,1.1239898,8.537499679,1.692,0.203635321,-24.298075,56274,21.7827,21.59595,21.62371,21.28704,21.26148,0.18675,-0.02776,0.33667,0.02556,-0.52122
7927,6782-56572-0617 ,56572,40.48487,0.73101261,8.978169143,0.988,0.232273595,-24.787376,56572,20.65082,20.08945,19.63804,19.4779,19.32981,0.56137,0.45141,0.16014,0.14809,-1.32101
13894,7834-56979-0375 ,56979,32.382461,-1.2042597,7.659939364,0.8768715,0.443790814,-22.910158,56979,23.10825,22.11279,21.43238,21.21327,20.85965,0.99546,0.68041,0.21911,0.35362,-2.2486
23185,5142-55825-0354 ,55825,319.98373,1.0319921,9.111525711,1.167,0.275702428,-22.732044,55825,22.36594,22.36021,21.70946,21.58927,21.01289,0.00573,0.65075,0.12019,0.57638,-1.35305
7083,6780-56605-0716 ,56605,36.869182,0.2544813,8.543289034,2.24,0.91698011,-24.239649,56238,22.95043,22.22878,22.26907,21.97507,21.74115,0.72165,-0.04029,0.294,0.23392,-1.20928
28220,0379-51789-0396 ,51789,342.65307,0.13317584,8.403319212,0.4308,0.074501647,-23.357471,57667,18.74536,18.62231,18.70716,18.6061,18.34318,0.12305,-0.08485,0.10106,0.26292,-0.40218
3103,4231-55444-0028 ,55444,26.469611,-0.37844356,8.486855263,2.875,0.281035373,-25.73094,55444,22.31178,21.38598,21.18636,21.0785,21.07897,0.9258,0.19962,0.10786,-0.00047,-1.23281
5253,6782-56576-0011 ,56576,41.933692,-0.193692,9.386406063,1.646,0.094893061,-24.159487,56572,21.3137,20.97892,20.88824,20.58167,20.57185,0.33478,0.09068,0.30657,0.00982,-0.74185
3005,7867-57003-0954 ,57003,8.823545,-1.0161803,8.734489585,2.159,0.137591806,-25.18622,57003,21.1659,20.80435,20.59833,20.44513,20.21365,0.36155,0.20602,0.1532,0.23148,-0.95225
17710,4235-55451-0152 ,55451,32.679864,-0.30513714,9.731156281,4.65,0.188432489,-28.580172,55451,23.91927,22.72953,20.34976,19.11814,19.00005,1.18974,2.37977,1.23162,0.11809,-4.91922
17644,7862-56984-0988 ,56984,3.0234317,0.74303118,8.004165859,1.5219171,0.156934621,-24.513454,56984,21.09919,20.99243,20.79603,20.59699,20.54709,0.10676,0.1964,0.19904,0.0499,-0.5521
28207,4206-55471-0584 ,55471,342.65292,0.96948183,9.3445199,2.316,0.034653399,-26.619999,55471,20.14366,19.5192,19.44373,19.43506,19.28574,0.62446,0.07547,0.00867,0.14932,-0.85792
11019,7834-56979-0084 ,56979,33.696446,-1.0311567,9.665667648,1.767,0.48526909,-24.07626,56979,22.62221,22.26509,22.03854,21.44695,21.39539,0.35712,0.22655,0.59159,0.05156,-1.22682
19226,0713-52178-0478 ,52178,52.967262,0.7263282,8.754509403,1.1708,0.054003049,-24.728342,52178,20.10648,19.92656,19.6096,19.48519,19.39726,0.17992,0.31696,0.12441,0.08793,-0.70922
5501,7825-57030-0860 ,57030,40.244832,-0.42849062,8.505340886,2.36,0.114448728,-25.240499,57030,21.42986,20.77279,20.80017,20.83547,20.46987,0.65707,-0.02738,-0.0353,0.3656,-0.95999
14422,0405-51816-0577 ,51816,34.039708,1.025111,8.217681029,0.4876,0.063377343,-23.971495,58099,18.62882,18.47539,18.64749,18.55825,18.48532,0.15343,-0.1721,0.08924,0.07293,-0.1435
5765,7863-56975-0880 ,56975,3.3702534,-1.0120284,8.470762537,1.9159697,0.132988993,-24.46863,56975,21.17423,21.0955,21.13769,20.94477,20.92862,0.07873,-0.04219,0.19292,0.01615,-0.24561
15458,0709-52205-0094 ,52205,45.942038,-0.62489193,8.816704043,1.0466,0.045659506,-24.526907,52205,20.0454,19.79328,19.46928,19.58065,19.52586,0.25212,0.324,-0.11137,0.05479,-0.51954
10260,6780-56267-0229 ,56267,37.150286,-0.61660198,8.840390583,1.388,0.03791428,-24.491131,56267,20.3903,20.53468,20.28332,20.29401,20.38874,-0.14438,0.25136,-0.01069,-0.09473,-0.00156
21695,4196-55478-0843 ,55478,326.83467,0.40390861,8.480126616,2.231,0.087389457,-24.523491,57665,21.4644,21.15936,21.28221,21.27776,21.05377,0.30504,-0.12285,0.00445,0.22399,-0.41063
