my_ID,ID,MJD,ra,dec,Mass,z,ERR,M_i,spec_mjd,ra.1,dec.1,u_band,g_band,r_band,i_band,z_band,ug,gr,ri,iz,zu
3604,7868-57006-0898 ,57006,9.7636994,0.33505514,8.653459486,1.2022911,0.102330668,-24.040934,57006,9.7637,0.3350551,20.94412,20.94612,20.63082,20.59111,20.60751,-0.002,0.3153,0.03971,-0.0164,-0.33661
6266,1502-53741-0176 ,53741,23.52223,-0.237643,9.372125934,1.2833,0.077716722,-24.761665,53741,23.52225,-0.23761,22.01644,21.1279,20.2256,19.96158,19.79185,0.88854,0.9023,0.26402,0.16973,-2.22459
28061,7848-56959-0465 ,56959,357.96776,-0.24940039,8.412065971,1.1483524,0.281249839,-22.644444,56959,357.9678,-0.2494192,22.17777,21.87289,21.42809,21.43591,21.16678,0.30488,0.4448,-0.00782,0.26913,-1.01099
9019,7818-56989-0470 ,56989,20.520593,-0.35968538,8.84506121,1.5783925,0.148455254,-24.543165,56989,20.52059,-0.3596854,21.02636,20.75329,20.64211,20.45225,20.44336,0.27307,0.11118,0.18986,0.00889,-0.583
20633,4214-55451-0992 ,55451,358.07189,0.65104599,9.541242536,1.244,0.014092586,-26.939816,57713,358.0719,0.6510501,18.11914,18.04502,17.76121,17.7697,17.91453,0.07412,0.28381,-0.00849,-0.14483,-0.20461
14039,0686-52519-0359 ,52519,0.81365168,0.039137475,9.253089804,1.5316,0.09832154,-25.312763,52519,0.813679,0.039186,20.18409,20.0141,19.8561,19.61719,19.70404,0.16999,0.158,0.23891,-0.08685,-0.48005
7816,4224-55481-0562 ,55481,12.769329,0.49704498,8.642648942,1.486,0.117893599,-25.127903,55481,12.76934,0.4970362,20.37785,20.14452,20.04627,19.89007,19.91617,0.23333,0.09825,0.1562,-0.0261,-0.46168
22218,4192-55469-0654 ,55469,319.42283,0.66785328,9.118837054,2.371,0.234020454,-24.601227,55469,319.4228,0.6678585,22.64885,21.96616,21.86013,22.03017,21.61102,0.68269,0.10603,-0.17004,0.41915,-1.03783
10626,7847-57012-0030 ,57012,24.79539,-0.036572497,9.245032218,1.2405614,0.10715666,-24.475355,57012,24.79539,-0.0365725,20.94578,20.95107,20.60013,20.6518,20.61694,-0.00529,0.35094,-0.05167,0.03486,-0.32884
9862,4219-55480-0198 ,55480,5.5120416,-0.21964789,8.639190573,0.836,0.111550169,-23.316357,55480,5.512044,-0.219652,21.04276,20.75679,20.60779,20.60454,20.32236,0.28597,0.149,0.00325,0.28218,-0.7204
17397,0710-52203-0120 ,52203,47.79254,-0.17084644,9.544272495,1.4302,0.043621669,-25.363728,52203,47.79255,-0.170852,20.15562,20.05949,19.77018,19.72568,19.8853,0.09613,0.28931,0.0445,-0.15962,-0.27032
25463,4214-55451-0068 ,55451,357.75328,-0.43658476,9.288394351,2.49,0.237500935,-25.998878,55451,357.7533,-0.4365866,21.02454,20.4073,20.18092,20.19115,20.03606,0.61724,0.22638,-0.01023,0.15509,-0.98848
24325,4192-55469-0109 ,55469,320.53024,-0.2652938,8.271659579,2.105,0.14906853,-24.79969,55469,320.5302,-0.2652937,24.09381,22.04386,21.49131,21.08331,20.6847,2.04995,0.55255,0.408,0.39861,-3.40911
16214,4229-55501-0756 ,55501,22.007031,0.78428434,8.955418972,2.466,0.185293136,-26.203093,55501,22.00703,0.7842863,20.94673,20.46307,20.31772,20.38971,20.27745,0.48366,0.14535,-0.07199,0.11226,-0.66928
